token	freq	section	docs
expérience	53	texte	68388,68638,74167,73185,72932,72113,72937,73432,76206,70919,73683,72629,72399,69540,69178,73875,72940,73684,73690,70748,73876,75792,69813,70749,72392,75789,68643,71845,72394,67389,76508,72397,70914,68383,75063,71614,74746
in	21	texte	68388,73184,73190,67557,68277,67385,75795,73877,68645,74455,70420,67389,75064,71837,68383,71615,74168
vivo	4	texte	68388,68277,67389,71837
culture	41	texte	68388,67938,74167,74173,73185,71620,76211,72936,76206,76213,73431,73182,73683,67385,67391,69183,67794,73876,76516,67802,74457,68643,70420,74450,68279,72396,69538,76209,68383,68385
transmission	10	texte	68388,72115,67386,67554,75794,70748,69820,74453,73881,68391
augmenter	32	texte	68388,67939,71618,73430,72934,69816,67554,67795,67391,74449,76510,68882,68886,68273,75792,72635,69177,68646,70425,67558,70421,70422,69539,71837,70916,73188,75464
mort	4	texte	68388,68274,75065
mécanisme	38	texte	68388,67938,70922,73184,69533,73432,72116,70919,68881,76511,67555,69811,67800,76514,75790,69813,70746,68643,69819,67942,74453,72631,70914,75065,71837,71836,67937,68385
intervenir	10	texte	68388,74167,69541,72634,69820,68643,69819,73882,74745,75063
oxydoréduction	2	texte	68388,73877
alarme	2	texte	68388,67937
neuroprotecteur	1	texte	68388
déficit	11	texte	68388,73184,67556,69182,73883,68383
neuronau	2	texte	68388,73879
en direct des laboratoires	40	rubrique	68388,68389,70922,74173,73436,71618,76210,67391,67390,75794,69183,69540,68886,67800,67801,68887,69184,70167,67802,72635,68645,71843,68644,70747,68646,68280,73688,70746,67558,67389,69819,72397,75070,69539,72119,73189,73188,74750,68390,68391
264	11	bulletin	68388,68389,68383,68387,68393,68392,68386,68390,68384,68385,68391
1/12/2011	11	date	68388,68389,68383,68387,68393,68392,68386,68390,68384,68385,68391
institut de la vision, umrs 968 - william rostene : tél. : +33 (0)1 53 46 25 72 - email : william.rostene@inserm.fr	1	contact	68388
meghatropique	3	titre	67939
mission	91	titre	67939,74170,73434,74172,70923,72113,76211,69534,73430,76207,70163,72629,68881,68883,67795,69811,70170,69179,68885,68884,68645,69177,72393,75789,73688,70424,72394,74450,67940,67942,73880,70422,75064,71362,71359,68393,74746
spatial	65	titre	67939,73434,72113,69537,71839,70163,68275,69811,70170,69179,69812,69177,73884,70424,70746,69819,73880,70914,75066,71836,73189,68392,71358
mieux	78	titre	67939,70922,74749,72932,74172,72113,73432,73183,73430,75069,76206,76213,73182,72115,67557,69181,73683,67387,75794,70161,67794,67555,68886,69811,73685,67800,75790,72940,70164,68885,69812,73877,69813,70749,72634,70745,74455,75788,73878,73688,70420,74451,72397,73880,70423,67943,72396,67071,75462,75066,70916,73189,67937,74750,75458,75459
connaître	67	titre	67939,73434,75457,74167,74172,71618,72113,72116,72114,73183,73430,75069,76206,73431,73182,70919,72115,67387,76507,67556,68881,72401,70161,67794,69540,68886,73685,73875,67800,67801,68885,69184,73876,70166,70744,74457,73884,73879,74455,70169,75788,73878,68643,69819,70421,72632,72630,72397,72396,71835,70916,68387,67937,74752,68390
cycle	39	titre	67939,71619,74167,73437,69533,72936,72934,67387,72629,69540,73684,68889,72392,68888,71845,73880,67071,75071,71362,70916,72122,74751,72120
eau	92	titre	67939,74170,73434,73190,69537,73433,76210,71621,70918,73183,67387,69816,68275,68883,69182,67390,72399,69540,73685,73875,69812,69813,68884,69542,72392,73688,70746,67558,72394,69818,72397,73880,71363,67071,75460,70917,75462,68383,70916,68387,74750,75458,68390
tropique	4	titre	67939
satellite	65	texte	67939,73434,69537,71839,70163,68275,69811,70170,69179,69813,69177,68644,75789,67942,73880,71836
programme	107	texte	67939,73186,71619,74749,74748,69533,72113,68639,72117,74176,71621,73183,73430,76207,74174,69181,73683,67386,75797,72629,68881,69814,74449,68882,76515,73684,73690,70428,69543,76516,69813,69542,70749,68889,69177,74456,73884,72393,67946,70751,67944,69820,70424,70752,72394,67941,74450,67940,72630,70422,72118,75071,75065,72938,71835,75460,71362,75067,70916,71359,71615,75063,74744,71616,74168,73438,75459
francoindien	1	texte	67939
méghatropique	13	texte	67939,69177
lancer	86	texte	67939,73434,74171,67938,75457,73436,73184,69537,73433,73432,72114,75068,76207,73182,67557,69181,73683,69817,70163,76512,67795,67555,69811,70164,73684,73686,69812,70166,75793,69813,68645,72392,69177,72634,68646,74455,70424,72394,67941,76509,74450,67388,72395,72630,67942,73880,70422,68279,67943,72396,68641,69538,72118,75461,75065,71835,75460,71362,68383,71836,70916,71615,75063,74744,71614,75458,74168
12	26	texte	67939,74170,71619,73436,73182,75797,69180,68881,68277,67555,73689,70424,74451,72395,67798,73881,68279,70914,67071,75065,72122,71614,74746
lanceur	19	texte	67939,69179,69177,75789
pslv	1	texte	67939
depuis	176	texte	67939,73434,74749,75457,74167,73436,72933,72932,73184,69537,71620,76211,73432,71621,72114,71838,73183,76206,72935,72934,73431,73182,72115,68274,73683,69817,76512,76507,68275,72629,68881,68883,67795,69814,76511,67385,70161,68276,67794,67555,68882,69811,73685,73875,67800,76514,75791,69186,73684,70428,68885,69812,73876,70166,75793,67383,75792,70167,67802,73877,69813,70749,70744,72392,69177,74457,70745,72636,71840,73879,74455,70169,74454,67945,68643,72394,70420,76509,74451,73882,70421,72630,68279,72396,72631,68641,70914,72939,69539,71362,70917,75462,71837,68383,71836,71359,74745,68387,67937,74744,75466,71366,71616,74746,68384,68385,75459,74747,71617
base	48	texte	67939,74749,73185,73436,76210,72114,75069,76207,72115,67557,67387,67554,69814,67390,69811,70164,69812,67802,72635,72392,68644,72634,73879,75788,75789,68280,68640,72630,70423,68279,72631,68383
sriharikota	1	texte	67939
inde	18	texte	67939,69180,67553,69177,72393,72630,75064,74168
contrôle	35	texte	67939,74171,74167,76207,67068,67557,70162,69180,67390,69183,73685,67800,68885,67802,73687,72635,72392,71840,73879,67945,71841,72938,72119,75067,74751,68390
indian	4	texte	67939,69180
space	15	texte	67939,70163,70170,75789,71836
research	16	texte	67939,69534,70162,69180,67799,71360,71837,71615,68387,68386
organisation	21	texte	67939,71357,71619,75457,73185,73430,76206,72935,69535,72629,70166,74457,67944,75788,70746,72637,67798,70423,74746,68384
isro	2	texte	67939
placer	24	texte	67939,70920,76207,69181,68883,68277,69182,70161,67800,69179,70425,70424,72637,67558,70420,72395,68279,72119,74752,74168
orbite	22	texte	67939,73434,69811,69179,69177,67942,73880,71836
865	1	texte	67939
kilomètre	38	texte	67939,68389,73183,76212,73683,68883,76510,69811,69179,69812,71840,75789,67941,74450,68640,67942,71837,71836,75458
altitude	9	texte	67939,68389,69179,75789,67942,71617
inclinaison	1	texte	67939
20	45	texte	67939,73190,70923,72113,69535,67557,68274,76512,67556,75795,67391,68276,73875,70165,76515,70164,73684,69542,68645,67561,68281,75789,74454,73878,67558,67941,70743,70423,72396,71363,70914,75071,76208,68383,70916,71615,68387,75063,74752
emporter	5	texte	67939,69179,69177,70424
bord	24	texte	67939,73434,72933,73190,73183,68883,69811,70165,69179,69542,68645,69177,68644,72634,70424,76508,68640,70917,68383,71836,74751
instrument	57	texte	67939,74171,67068,70919,69181,70163,69811,69177,74455,73688,70424,74451,70914,72119,71836,70916
français	177	texte	67939,73186,67938,71357,68638,71619,74167,72933,72932,73437,69533,72113,69537,72936,69536,69534,72114,71838,73430,75069,72935,72934,73431,73182,71839,67068,69535,68274,69181,73683,69817,70163,76512,67392,69816,69180,72629,68881,69814,70161,68276,73875,70165,67801,73684,69179,70748,68885,69812,75792,73687,67553,72392,68283,72393,68888,70751,70753,69821,74455,75788,70424,70752,72633,70420,69818,73880,74453,74452,70422,68279,67943,72396,68641,70914,72938,71835,71612,75460,76209,76208,68383,71836,71359,71615,74745,71614,71358,71366,74746,75458,74752
saphir	2	texte	67939
scarab	2	texte	67939
madras	2	texte	67939
fruit	52	texte	67939,73434,74167,72117,73430,75069,76213,69535,69817,70162,68881,67391,67555,68882,69178,73685,68273,68884,72393,68888,69821,67941,70421,70422,67943,70914,72939,75462,68383,71359,68387,68393,75063,71614,71358,75458,74752,75459
coopération	25	texte	67939,73434,69536,67795,69814,76511,67794,67555,67553,69177,72393,67945,72396,70914,71362,71361,68392
francoindienn	7	texte	67939,73434,69180,69177,72393
radiooccultation	2	texte	67939
gp	6	texte	67939,69181,69177,68279,76208
aller	327	texte	67939,74170,73434,67938,71357,68638,74749,75457,74167,73185,72933,72932,70923,69533,73432,72116,69534,72114,73183,73430,75069,76206,72935,76213,73431,73182,67068,69535,73683,69817,67387,70162,68275,72629,68881,67554,67795,68277,76511,67385,67390,76510,70161,69815,68276,67794,67555,68882,69178,73685,73875,67800,75790,76515,73684,68273,70748,73686,69812,73876,70166,75793,67383,75792,67802,73877,69813,68884,70749,72635,70744,71843,72392,73884,72393,71842,72634,70745,68646,71840,70425,73689,74455,75788,70168,70424,67945,68643,67558,72394,70420,74450,74451,70421,67798,72630,72397,70423,68279,72631,75461,75065,72938,75064,75070,71835,71612,75460,69539,71362,71360,70917,75462,71837,76209,76208,75067,68383,71836,70916,71359,74751,74745,73189,75063,67937,74744,71614,71358,74746,75458,74752,74168,75459
fournir	24	texte	67939,74749,72932,71618,67796,73683,70162,69816,68886,69178,69811,70424,68640,72118,71362,76208,71836,68391
donnée	91	texte	67939,73434,74749,74167,70923,69533,73183,75069,72935,73431,73182,69535,67557,69181,67387,76507,68275,67797,68883,69182,76511,74449,67794,67555,69811,73685,72940,70170,69179,70428,69812,67553,70749,68889,72392,71840,75788,70424,71845,69819,72630,73880,74452,71837,70916,71359
atmosphérique	11	texte	67939,71838,69816,68645,70743,75463,70916,71617
énergie	123	texte	67939,73434,68638,73185,73436,72933,73190,76210,71621,72934,76213,67557,67797,72629,72398,69814,68882,69540,69178,67800,70165,72940,73684,70166,68884,72393,68644,75789,73688,70424,69818,74450,69819,70743,68640,72397,71363,69538,75071,72939,69539,72119,71362,75066,75067,68383,75463,74751,75063,73188,72121,74168,68385,71617
intertropical	1	texte	67939
attendre	32	texte	67939,68638,74748,72937,72116,73182,73683,75796,75797,72629,68881,75795,67555,69811,73691,73684,68273,69543,67802,69542,69177,69821,69820,67945,68643,75065,73188,73438,72120
communauté	38	texte	67939,73434,68389,68638,74172,69533,73432,72934,74174,73683,68275,70161,69811,70170,67803,70420,68642,67942,70914,72939,75460,71837,68387,75466,75458
scientifique	172	texte	67939,74170,73186,73434,68638,75457,72932,69533,72113,68639,71620,72936,69536,69534,72114,73183,76206,72934,76213,71839,67068,70919,72115,67557,73683,69817,76512,67387,69816,69180,68275,72398,68277,76511,74449,70161,69815,67794,67555,69811,73685,75790,72940,76515,73690,69812,69184,67803,75793,67383,67802,73877,69813,68884,70749,74457,72393,72634,73689,75789,69820,70424,68643,72633,72394,70420,73883,74450,67388,68642,67942,73880,74453,68279,67943,72396,71363,70914,67071,72939,71612,75460,70917,75462,71837,68383,70916,71361,71359,68387,75063,67937,68386,71614,71358,72121,75464,71616,68384,74168,75459
impliquer	92	texte	67939,73186,73434,71357,68638,74749,72932,73184,74172,69533,72937,72116,69534,72114,75069,76207,73182,74174,67557,69181,73683,69817,76512,76507,67556,69814,76511,67390,70161,67555,75790,70164,68885,69812,75793,75792,69813,70749,68645,72392,70745,74455,70424,67945,70420,74450,67389,68642,72630,73880,74453,68279,72631,70914,71835,69539,71359,68387,71358,72121,74746,75458,68390,74168,74169,75459
climat	45	texte	67939,68389,69533,71838,73183,69816,68275,72398,72940,73684,69813,68645,69177,70745,72394,73880,69538,67071,71837,75463,70916
nul	1	texte	67939
doute	35	texte	67939,68389,71357,74167,72932,71621,73430,73182,72115,67794,68882,73875,73876,70166,75793,73877,70749,71842,74455,75789,72394,71835,71359,74752,74168,75459
ingénieur	137	texte	67939,74170,73434,67938,74749,75457,73185,72933,74172,70923,72113,72936,73430,76206,76212,75068,73431,74174,67068,72115,69181,68883,67554,72398,67795,70161,68276,68886,73685,73684,68273,69541,70748,69185,68645,70426,68888,72634,67944,73689,73879,74455,72633,72394,74450,73882,70743,67071,75071,75064,71612,71362,68383,70916,71361,71615,74751,68393,75063,71614,71358,74747
technicien	5	texte	67939,75068,72115,68279,67071
réalisation	24	texte	67939,68638,75457,69533,72116,75068,70919,73683,76512,68881,72399,73875,68885,72392,72393,71842,70753,67798,67940,70743,68386
pousser	7	texte	67939,73434,71357,67068,73684,71835,68387
ouf	1	texte	67939
soulagement	2	texte	67939
quand	61	texte	67939,67938,73432,72114,76207,73431,73182,70919,72115,68274,70163,76507,69816,72629,67795,76511,74449,70161,67555,73685,75790,73684,73876,70166,75792,73877,69813,68884,67553,72393,71842,71840,72394,70421,70422,71835,70915,71359,74745,67937,74750,71614,75458,74168
savoir	105	texte	67939,68389,68638,74749,75457,74167,74173,72932,69533,72113,73432,76206,72935,76213,76207,72115,73683,70163,67386,70162,76507,69816,67795,76511,70161,69815,69811,73875,73684,68273,69541,70748,69812,75793,67383,73877,69813,73687,67553,74457,72393,71842,72634,71840,69821,73879,74455,70746,72394,76509,74450,76508,70421,67798,73881,69538,70914,70915,71362,75462,76208,71359,74751,74745,75063,74744,71614,71358,74168,75459
car	23	texte	67939,68389,73432,71621,73183,76206,75797,76511,75794,70161,73684,75793,70744,69821,74455,70421,70423,72396,71835,75067,67937,75458
exister	72	texte	67939,67938,70920,75457,74173,73185,72932,73184,74172,71618,72117,71620,76210,72935,72934,76213,72115,67386,70162,75794,74449,70161,69815,69183,67555,73685,68273,75792,69813,70749,74457,71842,70425,75788,73878,68643,76509,74450,67388,68279,67943,72631,75065,71835,75462,68383,71359,71615,67937,71614,71358,68390,74168,68391
toujours	57	texte	67939,68389,68638,74167,73185,72932,73432,73183,76206,76213,73182,67068,73683,67386,75797,76507,72629,67554,70161,68276,70429,69812,70166,67383,73877,67553,74457,72393,73879,74455,68643,74450,76508,70423,70422,72396,72939,71835,71612,75066,74745,73189,74744,71614,74746
certaine	12	texte	67939,73432,72114,76207,73431,68887,72634,74455,67798,68383
appréhension	1	texte	67939
moment	21	texte	67939,73187,72932,73183,67068,72629,76511,67555,73691,73685,75792,70749,69177,68643,67389,75065,75064,75063,71617
décollage	6	texte	67939,69179,74450,71617
ensuite	53	texte	67939,70920,71357,73185,72932,73432,69534,72934,76213,73182,72115,73683,67554,69182,76511,67385,74449,69183,68882,69540,69811,67802,73877,69813,68884,68645,68643,67558,72394,74450,76508,72630,72397,70422,75065,71835,68383,71359,68387,72121,75458,68391
mise	66	texte	67939,73434,71357,75457,74167,73185,73432,69536,69534,72114,74175,75069,69181,73683,76512,76507,72629,68881,68277,67385,75795,74449,69183,67800,73684,68887,68885,73876,70166,75793,67383,69177,72393,72634,68643,72394,74450,76508,67798,70743,70422,72631,72118,70914,75065,71612,71836,71615,75063,68386,71358,68384
autant	156	texte	67939,73434,68389,68638,74749,75457,74167,73185,72933,72932,73184,74172,72113,69537,76210,71621,72116,72114,74175,73183,73430,72935,72934,76213,73182,67068,67557,69181,73683,67386,69816,72629,68883,72401,76511,75794,70161,69183,67794,73685,73875,72940,67801,69812,69184,73876,75793,67383,75792,73877,69813,73687,67553,70749,70744,69177,74457,72393,71842,72634,70745,72636,71840,73879,70169,74454,69820,73688,67558,70420,69818,76509,76508,67798,70422,72631,70914,75461,75065,72938,75070,71835,71612,70915,71837,76209,75066,68383,75463,70916,74745,75063,73188,67937,74744,71614,75464,74746,74752,68390,74168,74169,68391,75459
cheminement	3	texte	67939,70162,75064
puisqu	20	texte	67939,73431,73182,70162,67795,76511,67391,69540,73875,69812,67383,69813,74450,69819,70421,67071,75064,71359,74168
évoquer	26	texte	67939,74749,74167,72932,73184,76213,67386,67795,67794,76514,67801,75793,75792,76516,73877,69177,67561,72630,72631,71835,75462,75063
fois	125	texte	67939,74170,73434,74171,70920,71357,68638,75457,74167,73190,69533,76211,76210,73432,69534,74175,73430,75069,76206,72934,76213,76207,67068,69535,69817,70163,76507,72629,68881,67554,72401,76511,75794,74449,70161,69815,68276,67555,69540,68886,73685,70170,76515,67801,68885,69812,73876,70166,67383,70167,67802,69813,67553,72635,69177,74456,73884,71842,68644,70745,70747,68281,75789,69820,70746,67558,67799,67389,67388,76508,69819,70421,70743,68642,72630,72397,73881,67943,70914,71835,72119,76208,75067,71359,71614,71358,71366,72121,75458,74168,68385
1993	4	texte	67939,73683,72633
colloque	36	texte	67939,71357,72113,71620,69534,74175,74449,70170,70428,67803,73877,70749,67561,67945,67942,72396,71363,75464,68384
prospective	10	texte	67939,71357,69535,68642,75465
cnes	29	texte	67939,73434,68275,70170,69179,69813,69177,67942,71836
recommander	2	texte	67939,71841
baptiser	35	texte	67939,71357,68638,73433,72934,75068,69535,68274,73683,69817,70162,72629,68881,69182,75790,73684,69179,73876,73687,75789,71841,72633,76508,68279,72118,75067,71359,71615,67937,74746,75458,74168
dédier	42	texte	67939,68638,71619,75068,69181,73683,76507,72398,68277,69814,69178,73691,70165,76514,71842,67946,73879,67799,68640,67942,68278,67943,69538,75461,75460,71361,72122,71359,71614,68384,74169,75465
équatorial	5	texte	67939,73684
propriété	43	texte	67939,73436,69537,70163,76511,67390,76510,75790,69186,70167,67802,71843,68644,72634,71840,73878,68280,70424,70746,67558,67389,67388,70421,75070,71612,69539,74751,74750,71614,71616,68390
surface	40	texte	67939,74170,73434,73190,69537,76210,72114,72934,76213,69817,68883,67554,69182,75794,67794,68886,69178,69811,69186,69184,72392,70425,70746,75461,75070,72119,75462,75067,74744,74750,68385
n	237	texte	67939,73434,73187,67938,71357,74749,75457,74167,73185,72932,74172,69533,72113,69537,76210,73432,69534,72114,73183,73430,76206,72935,76213,76207,73431,73182,67068,69535,68274,73683,67386,76507,72629,68881,67795,67391,75794,74449,70161,68276,68882,69540,68886,69178,69811,73685,72940,76515,67801,73684,68273,68887,69184,73876,70166,75793,67383,75792,73877,69813,73687,67553,70749,72635,70744,71843,69177,71842,68644,72634,70745,72636,71840,68281,74455,75789,74454,73688,68643,72394,74450,67389,76508,69819,70421,67798,72632,70743,68642,68640,72630,72397,70422,72631,70914,75065,72939,75070,71835,71612,70915,70917,71837,76209,75066,68383,75463,70916,71359,74751,74745,68387,73189,75063,67937,71614,75458,68390,74168,74169
1998	5	texte	67939,76507,72118,70917,68383
rebaptiser	1	texte	67939
mégha	1	texte	67939
signifier	5	texte	67939,75457,72115,76510,67801
nuage	8	texte	67939,74749,74449,75788
hindi	1	texte	67939
véritablement	9	texte	67939,76206,69535,73683,68881,76511,70744,70915,75458
démarrer	14	texte	67939,74749,70918,76507,72629,68881,67795,74449,72634,68279,72631,75065,71359
rappeler	93	texte	67939,73434,74171,67938,71357,73185,72933,72932,74172,69533,72113,72117,73432,73430,76213,76207,73182,73683,72629,68881,68883,76511,75794,67555,73875,75790,73684,69179,68273,69541,73876,75793,67383,73877,73687,72392,69177,68644,68646,67944,71840,73879,75788,68643,72630,72396,72631,72118,70914,71835,71612,70915,75462,76208,68383,71836,71359,74745,67937,74744,71614,71358,75458,74752,74169,75459
didier	6	texte	67939,75788,72633
renaut	2	texte	67939
responsable	56	texte	67939,72933,73437,70923,71620,74176,75069,73431,68274,73683,69817,76512,76513,70162,67556,72629,72401,76511,67391,67800,67801,69179,68885,73876,73877,69813,67553,74456,72393,67946,71840,69821,75788,75789,72637,72394,76508,68279,72396,72631,75064,69539,76209,71836,71359,75063,74744
programm	3	texte	67939,72937,72395
météoclimat	1	texte	67939
contour	1	texte	67939
fixer	12	texte	67939,75069,67385,67800,73684,73876,70743,68279,75070,72119,71615,74744
microonde	6	texte	67939,67068
imageur	10	texte	67939,67068,70163,67554
précipitation	8	texte	67939,69533,75463
sondeur	2	texte	67939
vapeur	9	texte	67939,73683,70426,72394
fin	74	texte	67939,73435,73434,71357,75457,74167,74172,74748,69533,76211,69534,72114,73183,76213,73182,67068,70163,72629,68881,68883,75794,74449,70161,73875,67800,73876,75792,73877,69542,67553,70749,72392,72634,67944,70168,68643,67558,74450,76508,72395,67940,67942,73880,70422,68279,72396,72118,75461,72938,71612,71359,68393,67937,74744,71614,74746,74168,74169,75459
2003	5	texte	67939,72398,69177,68383,74744
période	17	texte	67939,71357,75457,69533,72113,73432,67555,73877,70749,68643,70916,75459
difficile	35	texte	67939,74167,73185,73436,76210,73432,73431,73182,72115,73683,69817,67387,70162,69816,72629,74449,68276,72940,73684,73877,69177,69821,72394,76509,76508,70421,74452,72396,75461,71614
difficulté	20	texte	67939,67938,74167,75069,72934,73683,68882,68643,70420,76509,74450,76508,71614,74747
financier	18	texte	67939,73186,68389,74167,73185,69181,73683,72629,75795,73685,69177,72637,75461,71614,75465
partage	4	texte	67939,68275,69541,68642
réorganiser	4	texte	67939,71357,68280,67389
accepter	5	texte	67939,74749,68274,68276,75458
prendre	85	texte	67939,73186,73434,67938,71357,71619,74749,75457,74167,73185,72933,72932,71618,69533,72113,71620,71621,73430,72935,73182,68274,70163,67386,76507,72629,68883,69182,76511,75794,70161,69540,73685,75791,73684,73876,75792,69813,73687,67553,68889,68645,72392,69177,74456,70424,70421,72630,67942,73881,72396,72631,69538,75064,71835,71362,71837,71361,71359,74745,68387,67937,74744,74750,74169,75459,72120
charge	29	texte	67939,73436,69533,76212,73431,67555,67801,69179,68885,69184,75792,73689,75789,72394,67941,74450,68640,70915,68390
plateforme	56	texte	67939,68638,75457,73190,70923,73432,72116,69817,70162,76507,69180,69182,67391,76514,69812,76516,69177,70420,67798,68642,74452,68279,72939,76208,71836,71359,68393,75063,74168,68385
année	310	texte	67939,74170,73435,73434,74171,68389,70920,71357,68638,75457,74167,73185,73436,72933,72932,73184,71618,69533,72113,71620,76211,72937,73432,71621,69536,69534,73183,73430,76206,73431,73182,67068,72115,68274,73683,76512,67387,76507,72629,68881,72398,67795,76511,67385,70161,69815,68276,67794,72400,68882,69178,69811,73685,73875,67800,76514,75791,70170,70164,67801,73684,69179,68887,68885,73876,67803,75793,75792,70167,67802,73877,69185,69542,70744,72392,69177,74457,68283,72393,71842,68888,68646,71840,69821,68281,74455,75788,75789,74454,73878,73688,67945,72394,76509,74450,76508,70421,72395,72632,72630,73880,70423,74452,70422,73881,72396,72631,68641,75461,75071,75065,72939,75064,71835,71612,70915,69539,72119,71362,70917,75462,71837,76209,76208,68383,71836,70916,71359,74745,68387,75063,67937,68392,74744,75466,71614,71358,74746,75458,74168,74169,68385,68391,75459,74747,75465
suivant	10	texte	67939,75457,70162,68881,70161,70164,68643,67798,72396,67937
signer	33	texte	67939,68638,74172,72936,69536,72114,71838,71839,67796,69180,72629,67795,76511,70161,68276,73875,69541,73687,72392,72393,73878,72396,74746,68384,74168
accord	38	texte	67939,68638,74172,72117,69536,71838,71839,67796,68274,67795,76511,70161,70166,76516,72392,72393,68888,73878,72396,67937,74168
officiel	9	texte	67939,74167,72936,69534,67553,68888,70751,70169,68643
conjointement	1	texte	67939
méghatropiquer	1	texte	67939
france	200	texte	67939,73435,73434,73187,67938,71357,68638,74749,75457,74167,74173,73185,72933,72113,69534,71838,75069,76206,76213,76207,73431,73182,69535,68274,69181,73683,75796,76513,76507,69816,68275,72629,67795,69182,76510,70161,67804,68276,72399,73875,70165,76515,70164,73684,69179,68273,69543,68885,67383,75792,67802,69185,73687,69542,67553,68645,72392,74456,72393,71842,68888,70745,70753,72636,68646,67944,73689,68281,74454,70424,71841,72637,70752,71845,67799,74450,67388,73882,72632,68642,72630,74453,74452,70422,68279,70914,67071,75065,75064,71835,71612,70915,70917,76209,75066,76208,68383,71836,70916,67937,71614,71358,71366,71616,74746,75458,74168,75459
lancement	40	texte	67939,68638,72936,73432,69534,72114,73183,75069,70163,68275,69179,75793,70749,72392,69177,72394,74450,74451,76508,68279,67943,71836,70916,71359
incliné	1	texte	67939
équateur	2	texte	67939,73684
originalité	12	texte	67939,74171,68881,68276,68887,75793,75792,69813,68643,71835,68387
luire	81	texte	67939,73434,74749,74167,72932,74172,72936,72935,75068,73182,67068,72115,68274,73683,72629,68883,69815,69811,73875,73684,69812,67383,67802,72392,69177,72636,68281,74455,74454,73878,70746,67558,72394,67941,69818,76509,67389,67388,70421,72395,67798,72632,72630,70422,68279,72631,70914,75461,71835,71612,71360,71359,67937,71614,71358,74752,74168
revisiter	3	texte	67939,70161
fréquemment	4	texte	67939,73431,70420,70916
tropical	15	texte	67939,69181,74457,69821
nombre	62	texte	67939,73434,73187,70920,71357,71618,72113,72936,73430,67068,72115,73683,69817,67387,70162,67795,69182,70161,69540,73875,75790,67801,70166,75793,75792,67553,72635,72392,70745,70753,70425,68280,70420,67388,76508,67798,68642,70422,68279,70914,76209,70916,71359,74751,74745,68387,75063,74744,71358,74752,75459
passage	23	texte	67939,73184,73183,73430,76213,73683,68881,75792,72635,69820,73688,68643,68640,72118,75462,71836,74168,75459
6	52	texte	67939,74170,73185,73190,74176,72114,73183,76212,67557,73683,70162,68881,67555,70164,68273,73687,70749,68889,70426,69177,68888,70745,72636,73879,70169,75788,75789,67558,70420,73882,67940,70743,72630,70423,72938,70917,71836,70916,71359,68386,74746,74168,75465,72120
jour	82	texte	67939,73187,70920,68638,74167,74173,72932,73190,74748,73433,72936,72937,71621,74175,73183,72934,73182,72115,69817,76511,75795,76510,69183,67794,67555,70429,69811,73691,73875,69179,68273,68885,70166,73877,69813,67553,70749,68889,71842,72634,72636,70169,70168,73878,76509,74450,74451,76508,73882,72395,67798,72630,70422,73881,71363,71360,70916,71359,73189,71614,71358,74168
polaire	5	texte	67939,73183,69179
héliosynchrone	3	texte	67939,67942,71836
passer	86	texte	67939,73187,74171,71357,74167,73185,72932,73437,73190,69533,73432,69534,74175,73430,72934,75068,73431,73182,67068,72115,73683,70163,67386,67387,67554,67795,69814,76511,67385,75795,70161,67794,69540,73685,67801,73684,68273,73876,70166,69185,72635,72392,72634,72636,71840,69821,68281,70168,68280,73688,67945,68643,72633,72394,74450,76508,73882,70421,72395,72397,68641,67071,75065,72939,75070,71612,75066,71359,75459
terre	46	texte	67939,76210,71621,76213,69181,67794,69811,69812,75792,67553,68645,69177,68644,70745,70424,70420,68642,67942,73880,67943,71836,75463,70916,68387,74168
plusieurs	121	texte	67939,73186,73435,73187,68638,70922,75457,74167,74173,72932,73184,74172,69533,69537,72937,73432,71621,72116,69534,76213,73431,73182,67068,72115,68274,73683,69817,70163,76512,76513,69816,69180,72629,68881,68883,72398,67795,76511,67385,74449,69183,68882,70165,75790,76515,69179,68273,68887,68885,69184,73876,67803,70166,75793,75792,76516,70167,67802,69813,68645,71843,74457,71842,72634,70745,73878,70424,72633,72394,70420,76508,72395,72630,67942,74453,70422,68279,72396,72631,75065,71835,71612,75460,70917,75462,76209,70916,71359,67937,71616,74746,68390,74169
non	98	texte	67939,73434,74171,67938,71357,68638,75457,74167,73185,73436,72932,72113,72117,76211,72936,76210,72116,73430,75069,76213,76207,73431,73182,67557,69817,76512,67386,70162,68275,67556,72629,76511,75794,70161,69815,72399,67555,69178,73685,72940,73684,69541,70748,68885,73876,70166,75792,69813,73687,68884,70744,74457,68646,69821,74455,72394,69818,67389,67388,74451,76508,70421,67798,68642,72630,70423,73881,72396,72631,70914,67071,71835,70916,74751,68384,74168,74169,71617
seulement	48	texte	67939,73434,74171,71357,74167,73436,72113,76211,76210,72116,75069,76213,67557,76512,68275,70161,72399,69178,73684,68273,69541,70748,68885,73876,69813,68884,67553,71840,69821,69818,67389,67388,74451,70421,67798,70423,73881,70914,67071,74745,68384,74168,74169,71617
ausculter	1	texte	67939
traverser	10	texte	67939,68389,72629,75794,72397,75458
